		Forecast					V1					V2					10322	8670	1652							
Date	Open Balances	Closed	Avg discrep	New Cases		Open Balances	Closed	Discrep	New Cases		Open Balances	Closed	Discrep	New Cases		Forecasted		14	7							
28/9/2023											1,507	401	100	397		494										
29/9/2023											1,390	361	100	355		494										
30/9/2023											1,384	0	100	175		148										
1/10/2023											1,559	0	100	158		170										
2/10/2023											1,532	356	100	386		425										
3/10/2023											1,413	314	100	399		425										
4/10/2023											1,342	358	100	387		425										
5/10/2023											1,219	306	100	354		425										
6/10/2023											1,169	299	100	339		425										
7/10/2023											1,209	0	100	170		185										
8/10/2023											1,379	0	100	188		185										
9/10/2023											1,458	403	100	456		485										
10/10/2023											1,477	344	100	335		485										
11/10/2023											1,184	422	100	395		485										
12/10/2023											1,327	355	100	390		485										
13/10/2023											1,251	299	100	340		485										
14/10/2023											1,292	0	100	163		185										
15/10/2023											1,497	4	100	209		185										
16/10/2023											1,616	413	100	394		485										
17/10/2023											1,413	387	100	388		485										
18/10/2023											1,350	301	100	361		485										
19/10/2023											1,304	366	100	435		485										
20/10/2023											1,300	254	100	362		485										
21/10/2023											1,408	0	100	155		185										
22/10/2023											1,563	0	100	181		185										
23/10/2023											1,742	399	100	381		485										
24/10/2023											1,544	395	100	405		485										
25/10/2023											1,332	377	100	384		485										
26/10/2023											1,361	302	100	390		485										
27/10/2023											1,325	364	100	332		485										
28/10/2023											1,293	0	100	197		185										
29/10/2023											1,491	0	100	148		185										
30/10/2023											1,638	385	100	378		485										
31/10/2023											1,454	378	100	349		485										
1/11/2023											1,280	401	100	380		506	430 closed									
2/11/2023											1,169	311	100	388		506										
3/11/2023											1,154	286	100	340		506										
4/11/2023											1,208		100	156		177										
5/11/2023											1,363	1	100	138		177										
6/11/2023											1,400	368	100	498		506										
7/11/2023											1,386	369	100	468		506										
8/11/2023											1,370	327	100	390		506										
9/11/2023											1,307	372	100	332		506										
10/11/2023											1,118	310	100	314		506										
11/11/2023											1,122		100	148		177										
12/11/2023											1,270		100	161		177										
13/11/2023											1,431		100	235		177										
14/11/2023											1,617	408	100	409		506										
15/11/2023											1,525	422	100	524		506										
16/11/2023											1,650	356	100	400		506										
17/11/2023											1,677	348	100	443		506										
18/11/2023											1,772		100	213		177										
19/11/2023											1,985		100	188		177										
20/11/2023											2,150	523	100	505		506										
21/11/2023											2,033	617	100	500		506	430 target closure rate									
22/11/2023											1,912	543		477		506										
23/11/2023											1,761	460	100	432		506										
24/11/2023											1,642	439	100	473		506					Nov 	Actual	Forecasted			
25/11/2023											1,676		100	184		177		New cases	445		New cases	432	506			
